7zip 25.01-1
abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
acl 2.3.2-1
ada 3.2.7-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
aether 2.12.2-1
alacritty 0.16.1-1
alsa-card-profiles 1:1.4.9-1
alsa-lib 1.2.14-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
amd-ucode 20251021-1
aom 3.13.1-1
appstream 1.1.1-1
aquamarine 0.9.5-4
archlinux-keyring 20251012-1
argon2 20190702-6
asdcontrol 0.23.0ee8bd5-1
at-spi2-core 2.58.1-1
atkmm 2.28.4-1
attica 6.19.0-1
attr 2.5.2-1
audit 4.0.5-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bash-completion 2.16.0-1
bat 0.26.0-1
binutils 2.45+r29+g2b2e51a31ec7-1
bison 3.8.2-8
bitwarden 2025.8.1-1
blueberry 1.4.8-2
bluez 5.84-1
bluez-libs 5.84-1
bluez-tools 0.2.0-6
bluez-utils 5.84-1
boost-libs 1.89.0-2
breeze-icons 6.19.0-1
brightnessctl 0.5.1-3
brotli 1.1.0-3
btop 1.4.5-1
btrfs-assistant 2.2-4
btrfs-progs 6.17-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.117-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-2
cifs-utils 7.4-1
clang 21.1.4-2
clblast 1.6.3-2
clucene 2.3.3.4-16
cmake 4.1.2-1
compiler-rt 21.1.4-2
composefs 1.0.8-1
containerd 2.1.4-1
convertlit 1.8-13
coreutils 9.8-2
cppdap 1.58.0-2
cronie 1.7.2-2
cryptsetup 2.8.1-1
cuda 13.0.2-1
cups 2:2.4.14-1
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
curl 8.16.0-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbeaver 25.2.2-2
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dbus-units 37-2
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.35-1
diffutils 3.12-2
djvulibre 3.5.29-1
dkms 3.2.2-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:28.5.1-1
docker-buildx 0.29.1-1
docker-compose 2.40.2-1
dosfstools 4.2-5
dotnet-host 9.0.9.sdk110-1
dotnet-runtime 9.0.9.sdk110-1
double-conversion 3.3.1-1
duktape 2.7.0-7
dust 1.2.3-1
dysk 3.1.0-1
e2fsprogs 1.47.3-1
earlyoom 1.9.0-1
ebook-tools 0.2.2-9
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2.1-1
egl-wayland 4:1.1.20-1
egl-x11 1.0.3-1
eglexternalplatform 1.2.1-1
electron36 36.9.3-1
electron37 37.5.1-1
elephant 2.6.1-1
elephant-bluetooth 2.6.1-1
elephant-calc 2.6.1-1
elephant-clipboard 2.6.1-1
elephant-desktopapplications 2.6.1-1
elephant-files 2.6.1-1
elephant-menus 2.6.1-1
elephant-providerlist 2.6.1-1
elephant-runner 2.6.1-1
elephant-symbols 2.6.1-1
elephant-todo 2.6.1-1
elephant-unicode 2.6.1-1
elephant-websearch 2.6.1-1
ell 0.80-1
enchant 2.8.12-1
evince 1:48.1-1
exempi 2.6.6-2
exiv2 0.28.7-1
expac 10-11
expat 2.7.3-1
eza 0.23.4-1
fakeroot 1.37.1.2-1
fastfetch 2.54.0-1
fcitx5 5.1.14-1
fcitx5-gtk 5.1.4-2
fcitx5-qt 5.1.10-5
fd 10.3.0-1
ffmpeg 2:8.0-3
ffmpeg4.4 4.4.6-3
ffmpegthumbnailer 2.2.3-4
fftw 3.3.10-7
file 5.46-5
filesystem 2025.10.12-1
